,area,n_soceco,per_x_hog,educ,afil_sisprev,sprev_salud,activ
384,0,0,5,0,0,0,0
385,1,2,6,7,0,0,0
386,0,0,5,9,1,1,1
387,1,2,4,5,1,0,0
388,1,5,3,9,1,0,1
389,1,1,3,4,1,0,0
390,0,0,3,4,0,0,1
391,1,0,2,5,0,0,0
392,1,1,4,10,0,0,1
393,1,5,2,2,0,0,0
394,1,5,4,11,1,1,1
395,1,2,4,3,1,0,0
396,1,4,6,2,1,3,1
397,1,4,2,2,1,0,1
398,0,0,2,5,0,0,0
399,1,3,1,0,1,0,0
400,1,0,4,9,1,1,1
401,1,3,3,0,0,0,0
402,1,2,5,9,1,1,0
403,1,5,3,10,1,1,0
404,1,0,1,0,0,0,0
405,0,1,3,8,0,0,0
406,1,0,5,2,0,0,0
407,1,2,6,9,1,1,1
408,0,0,1,0,0,0,0
409,1,3,4,6,3,0,1
410,1,1,4,2,1,0,2
411,0,0,3,0,1,0,0
412,1,3,5,4,0,0,0
413,1,3,6,5,1,0,0
414,1,3,5,2,1,0,0
415,1,5,3,8,1,0,0
416,1,2,2,5,0,0,0
417,1,4,4,2,1,1,0
418,1,0,3,0,1,0,1
419,1,4,3,1,5,2,1
420,1,0,3,1,1,2,0
421,1,0,2,9,1,0,1
422,0,0,8,2,0,0,0
423,1,0,4,2,1,0,1
424,1,1,3,2,0,0,1
425,1,2,1,2,1,0,0
426,0,0,2,8,5,2,1
427,1,4,7,5,0,0,0
428,0,0,4,4,1,0,0
429,1,2,3,2,0,0,0
430,1,3,5,2,1,0,0
431,1,2,1,9,1,3,1
432,0,0,3,7,0,0,1
433,1,1,3,10,1,1,1
434,1,4,2,9,1,1,1
435,1,3,2,2,1,0,1
436,1,3,7,0,1,0,1
437,1,2,2,0,1,0,1
438,1,5,4,2,1,0,2
439,1,0,1,2,1,0,1
440,1,3,3,2,0,0,1
441,1,0,1,5,1,0,0
442,0,0,2,9,1,0,1
443,0,0,2,5,1,0,1
444,1,4,4,7,1,0,1
445,1,5,4,9,0,0,0
446,1,0,2,3,1,0,1
447,1,5,2,11,1,1,1
448,1,3,2,4,1,0,0
449,1,2,2,2,1,0,1
450,0,0,4,2,1,0,1
451,1,2,6,7,1,0,0
452,1,2,4,9,1,0,1
453,1,2,2,2,1,0,1
454,0,0,8,2,0,0,1
455,1,3,5,4,1,0,2
456,1,1,3,7,1,0,0
457,1,2,4,0,1,0,1
458,1,5,6,10,1,0,1
459,1,0,5,9,1,0,1
460,1,5,4,2,0,0,0
461,1,0,3,4,1,0,1
462,1,2,3,0,0,0,0
463,1,1,4,2,1,0,0
464,1,5,5,4,1,0,0
465,1,2,5,0,1,0,1
466,1,5,6,9,1,1,1
467,0,3,5,0,1,0,0
468,1,4,3,12,0,1,1
469,0,0,4,8,0,0,1
470,1,2,3,2,1,0,1
471,1,0,3,5,0,0,0
472,1,2,2,5,0,0,1
473,1,2,2,4,1,0,1
474,1,2,2,1,1,1,1
475,1,2,5,8,1,0,1
476,1,1,3,2,1,0,1
477,1,2,3,2,1,0,0
478,1,3,3,0,1,0,0
479,1,4,4,8,3,2,1
480,1,2,6,5,0,0,0
481,0,0,2,0,1,0,0
482,1,0,2,0,1,0,1
483,1,2,2,8,0,0,0
484,1,2,4,5,1,0,0
485,0,0,5,10,0,0,0
486,1,3,4,4,0,0,1
487,1,4,4,9,1,1,1
488,1,2,2,6,0,0,0
489,1,5,7,8,1,4,0
490,0,1,4,0,1,0,0
491,1,2,1,0,0,0,0
492,1,4,4,4,1,0,0
493,1,5,4,7,0,0,0
494,1,2,2,10,1,0,1
495,1,4,4,11,1,1,1
496,0,0,3,5,1,0,0
497,1,4,3,6,1,0,0
498,0,3,4,2,0,0,0
499,1,3,4,4,0,0,0
500,1,4,1,1,1,0,1
501,0,0,3,5,1,0,0
502,1,0,6,9,1,0,1
503,1,1,5,1,1,0,1
504,1,3,2,0,1,0,1
505,1,2,3,8,0,0,1
506,1,1,3,2,1,0,1
507,1,4,3,11,1,1,1
508,1,2,2,5,2,0,0
509,1,2,3,10,1,0,1
510,1,4,3,8,1,0,1
511,1,0,6,6,1,0,1
512,1,3,2,3,1,0,0
513,1,0,4,10,1,0,0
514,1,4,1,2,1,0,2
